 T00: "Kirkuk"
 T52: "Maymana"
 T52_ADJ: "Maymanaan"
 T52_ADJ2: "Maymanaan"
 T53: "Termez"
 T53_ADJ: "Termezan"
 T53_ADJ2: "Termezan"
 T54: "Kish-Shakhrisabz"
 T54_ADJ: "Kish-Shakhrisabzan"
 T54_ADJ2: "Kish-Shakhrisabzan"
 T55: "Kulob"
 T55_ADJ: "Kuloban"
 T55_ADJ2: "Kuloban"
 T56: "Charjuy"
 T56_ADJ: "Charjuyan"
 T56_ADJ2: "Charjuyan"
 T57: "Qarshi"
 T57_ADJ: "Qarshian"
 T57_ADJ2: "Qarshian"
 T58: "Samarkand"
 T58_ADJ: "Samarkandan"
 T58_ADJ2: "Samarkandan"
 T59: "Kokand"
 T59_ADJ: "Kokandan"
 T59_ADJ2: "Kokandan"
 T60: "Khujand"
 T60_ADJ: "Khujandan"
 T60_ADJ2: "Khujandan"
 T61: "Tashkent"
 T61_ADJ: "Tashkentan"
 T61_ADJ2: "Tashkentan"
 T62: "Shymkent"
 T62_ADJ: "Shymkentan"
 T62_ADJ2: "Shymkentan"
 T63: "Atakent"
 T63_ADJ: "Atakentan"
 T63_ADJ2: "Atakentan"
 T64: "Kermine"
 T64_ADJ: "Kerminean"
 T64_ADJ2: "Kerminean"
 T65: "Gurganj"
 T65_ADJ: "Gurganjan"
 T65_ADJ2: "Gurganjan"
 T66: "Kungirot"
 T66_ADJ: "Kungirotan"
 T66_ADJ2: "Kungirotan"
 T67: "Shimbay"
 T67_ADJ: "Shimbayan"
 T67_ADJ2: "Shimbayan"
 T68: "Urgench"
 T68_ADJ: "Urgenchan"
 T68_ADJ2: "Urgenchan"
